0  71
1  83
2  94
3  103
4  110
5  115
6  117
7  117
8  115
9  111
10 106
11 102
12 97
13 94
14 92
15 92
16 94
17 98
18 103
19 109
20 115
21 121
22 125
23 127
24 127
25 125
26 120
27 113
28 104
29 94
30 82
31 70
32 58
33 46
34 34
35 24
36 15
37 8
38 3
39 1
40 1
41 3
42 8
43 15
44 24
45 34
46 46
47 58
